Equipment_ID,Equipment_Type,Age_Years,Operating_Hours,Failures_Last_Year,Maintenance_Due,Temperature,Vibration,Pressure,Inspection_Score,Previous_Incidents,Risk_Level
P0726,Pump,12,10135,0,0,68.1,3.4,7.4,80,0,LOW
C0727,Compressor,4,7342,1,1,63.5,1.7,6.1,82,0,LOW
M0728,Motor,13,2449,2,0,90,5,7.5,70,0,MEDIUM
B0729,Boiler,15,12929,0,0,80.2,4.9,4.7,73,0,LOW
P0730,Pump,11,3539,0,0,71,4.3,7.9,84,1,LOW
T0731,Turbine,10,4959,0,1,65.2,1.2,9.6,68,0,LOW
T0732,Turbine,3,14183,2,0,60.4,3.7,11.8,98,1,LOW
C0733,Compressor,14,7285,2,0,75.2,3.8,7.7,65,1,LOW
M0734,Motor,16,6432,2,0,80.7,6.9,8.8,53,0,MEDIUM
P0735,Pump,10,5260,3,0,85,6.5,5.2,72,1,MEDIUM
M0736,Motor,10,3361,2,0,74.2,3.8,9.9,67,2,MEDIUM
P0737,Pump,12,7164,2,1,68.2,4.3,8.8,68,1,MEDIUM
C0738,Compressor,9,14393,2,0,88.6,4.2,6.9,93,1,MEDIUM
C0739,Compressor,1,12844,1,1,62.1,0.5,9.2,80,0,LOW
T0740,Turbine,5,4670,1,0,54.2,3.9,6.9,90,0,LOW
M0741,Motor,20,2753,3,1,90.5,6.8,7.2,30,1,HIGH
T0742,Turbine,8,9100,2,1,73.9,5.8,8.3,73,1,MEDIUM
M0743,Motor,11,11544,2,0,91.1,3.7,6,65,2,MEDIUM
T0744,Turbine,12,2938,0,1,64.1,3.1,8.5,65,0,LOW
B0745,Boiler,1,9562,3,0,73.3,2.4,6.3,77,2,MEDIUM
B0746,Boiler,20,6976,2,1,102.2,5.2,6,54,0,MEDIUM
B0747,Boiler,11,14140,3,1,75.5,4.3,6.5,68,2,MEDIUM
B0748,Boiler,5,13671,1,0,63.3,4.6,8.4,87,0,LOW
P0749,Pump,15,11123,2,0,75.2,4.8,6.7,58,0,LOW
B0750,Boiler,5,7588,3,0,69.9,5,5.9,92,2,MEDIUM
C0751,Compressor,12,9616,4,0,84.7,6.1,7.3,56,0,MEDIUM
C0752,Compressor,5,7304,3,0,76.8,3.3,7.9,62,0,LOW
P0753,Pump,17,8345,1,0,92.2,5,5.5,69,0,LOW
B0754,Boiler,17,13916,1,0,77.5,6,5.6,57,0,LOW
B0755,Boiler,12,8875,1,1,60.3,3.1,10.5,74,1,LOW
B0756,Boiler,15,10086,0,0,77.3,5.2,5.7,70,0,LOW
T0757,Turbine,15,7633,4,0,91.8,6,7.7,62,3,HIGH
M0758,Motor,6,1597,2,0,72,3.7,7,92,0,LOW
T0759,Turbine,12,4062,3,0,79.4,6.5,7.3,57,2,MEDIUM
M0760,Motor,20,3336,0,0,86,4.2,7.9,59,0,LOW
B0761,Boiler,18,13880,0,0,94.1,4.7,8.4,67,1,LOW
B0762,Boiler,14,10879,2,1,85.1,5.1,7.1,71,1,MEDIUM
T0763,Turbine,2,1572,4,1,67,5.3,6.3,67,0,MEDIUM
T0764,Turbine,9,8521,4,0,76.5,3.3,10.1,63,3,HIGH
M0765,Motor,5,7171,1,1,64.1,1.3,7.2,83,0,LOW
C0766,Compressor,20,8097,2,0,104.1,7.1,10.2,51,1,HIGH
M0767,Motor,1,3090,1,1,58,4.1,3.9,87,0,LOW
T0768,Turbine,3,14992,2,1,65.3,2.8,7.9,66,0,LOW
T0769,Turbine,6,7566,5,0,75.1,6.1,11.4,87,0,MEDIUM
P0770,Pump,5,12861,1,0,74.3,3.8,6.8,76,1,LOW
T0771,Turbine,5,13464,2,0,84.2,5,7.3,80,1,LOW
P0772,Pump,1,5624,2,0,66.1,1.1,8,90,1,LOW
C0773,Compressor,17,2633,0,1,81.2,3.5,6.2,77,0,LOW
M0774,Motor,19,14253,3,0,92.8,6.6,7.4,43,1,HIGH
M0775,Motor,14,2517,1,1,59.9,5.6,6.8,79,1,MEDIUM
P0776,Pump,12,13485,3,1,88,8.9,7,64,4,HIGH
M0777,Motor,10,11849,5,0,86.1,6.7,10.3,65,0,HIGH
T0778,Turbine,20,4648,3,1,97.4,5.4,8.6,36,0,HIGH
B0779,Boiler,18,14140,1,1,79.3,5.9,7.7,60,0,MEDIUM
P0780,Pump,11,12780,1,1,71.4,5.9,8.5,62,1,MEDIUM
M0781,Motor,2,2537,0,1,54.7,2.4,6.6,99,0,LOW
P0782,Pump,18,14368,3,1,99.2,5.7,6.7,40,0,HIGH
P0783,Pump,7,4137,1,0,65.5,4.9,6.4,82,0,LOW
B0784,Boiler,15,7985,1,1,97.2,5.7,7.3,57,0,MEDIUM
T0785,Turbine,11,1097,1,0,77.9,3.1,5.7,68,0,LOW
P0786,Pump,18,12407,1,1,74.8,5.9,6.5,62,1,MEDIUM
M0787,Motor,12,13722,2,1,78,6.4,6.8,67,1,MEDIUM
C0788,Compressor,6,13924,2,0,64.8,5.7,10.8,91,0,LOW
P0789,Pump,20,4750,1,0,70.4,5.6,3.1,46,0,LOW
P0790,Pump,13,12349,0,0,87.3,3.5,6.7,85,0,LOW
B0791,Boiler,20,13875,3,0,99.6,8.6,10.5,72,0,HIGH
T0792,Turbine,16,9535,1,0,86.3,3.6,7.5,64,0,LOW
C0793,Compressor,18,9174,0,1,83.3,5.2,8.1,75,0,LOW
M0794,Motor,10,9103,0,1,58.9,1.9,7.1,72,0,LOW
C0795,Compressor,8,6413,1,1,66.1,5.2,6.3,63,1,LOW
M0796,Motor,18,5666,1,0,91.7,5.1,3.9,61,0,LOW
T0797,Turbine,1,1610,3,1,57.1,5.8,8.2,87,2,MEDIUM
M0798,Motor,8,2727,1,1,49.7,4.5,6.1,67,0,LOW
B0799,Boiler,6,11482,0,0,62.2,1.4,5.8,84,0,LOW
B0800,Boiler,5,2854,1,0,64.4,5.2,6.6,92,0,LOW
B0801,Boiler,15,11800,4,0,90.6,8.9,10.8,57,0,HIGH
B0802,Boiler,15,6055,2,1,89.3,6.7,11.2,62,1,HIGH
C0803,Compressor,2,11271,0,0,63.1,1.4,7.3,98,0,LOW
T0804,Turbine,1,3324,3,1,67.6,3.9,7.2,82,1,MEDIUM
M0805,Motor,11,13819,1,0,84.1,4.5,5.5,73,0,LOW
M0806,Motor,10,10369,1,1,60.8,3.4,8,72,0,LOW
B0807,Boiler,18,10283,0,0,86,6.7,9.7,60,0,LOW
B0808,Boiler,18,14171,3,0,96,7,7.5,66,2,HIGH
P0809,Pump,17,6774,1,0,73.6,2,3.7,60,1,LOW
T0810,Turbine,8,7519,0,0,55,3.6,8,95,0,LOW
C0811,Compressor,15,11983,1,1,74.5,4.5,8.8,59,0,LOW
M0812,Motor,8,2749,3,0,70.7,5.2,5.5,75,1,MEDIUM
P0813,Pump,17,11867,0,1,86.5,4.1,7.3,57,0,LOW
P0814,Pump,12,1781,1,0,71.1,5.5,8,66,0,LOW
M0815,Motor,8,8548,3,0,69.1,6.6,7.8,60,0,MEDIUM
C0816,Compressor,14,12240,2,0,77.1,5.8,6.4,58,1,MEDIUM
P0817,Pump,4,7823,2,0,75.9,3.6,9.1,82,1,LOW
P0818,Pump,1,3105,3,1,65.6,4.2,7.3,80,4,HIGH
T0819,Turbine,1,4867,4,0,67.1,5,6,90,1,MEDIUM
C0820,Compressor,19,8193,1,1,85.6,4.6,4.2,50,0,MEDIUM
P0821,Pump,16,5976,2,1,95.3,6.5,9.5,48,1,HIGH
C0822,Compressor,14,13734,2,0,76,6.1,8.5,55,1,MEDIUM
M0823,Motor,16,3113,2,0,95.5,7.6,7.7,67,0,MEDIUM
B0824,Boiler,5,6879,0,1,64.2,4.3,6.3,94,0,LOW
P0825,Pump,9,14565,4,1,79.2,5.3,7.4,70,1,MEDIUM
T0826,Turbine,2,4970,2,1,84,4.7,6,86,0,MEDIUM
M0827,Motor,18,11183,1,0,76.6,4.3,6.7,69,0,LOW
C0828,Compressor,6,10259,2,1,67.2,5.1,4.4,87,4,MEDIUM
M0829,Motor,9,8264,2,0,64.6,4.1,6.5,78,1,LOW
P0830,Pump,1,2577,1,1,67.1,1.6,6.8,91,0,LOW
C0831,Compressor,9,10203,0,1,82,3.7,7.9,73,0,LOW
B0832,Boiler,16,3274,2,0,98.4,2.6,7.5,52,1,MEDIUM
M0833,Motor,13,5869,2,0,90.3,3.2,8.8,63,0,MEDIUM
P0834,Pump,9,11006,4,0,78.9,5.9,10.2,68,2,MEDIUM
T0835,Turbine,13,7744,1,0,74.6,4.7,8.9,73,0,LOW
C0836,Compressor,9,3426,2,1,61.1,4.3,8.3,83,2,MEDIUM
M0837,Motor,11,14489,0,0,87.8,1.8,7,81,0,LOW
M0838,Motor,4,6546,1,0,67.8,2.3,5.8,98,0,LOW
B0839,Boiler,2,7852,1,0,57.1,3.5,8.4,89,0,LOW
B0840,Boiler,6,13594,2,1,80.6,5,10.1,71,1,MEDIUM
T0841,Turbine,14,14066,1,0,71.2,4.8,7.8,60,1,LOW
T0842,Turbine,4,3551,2,0,70.3,5.4,10.5,79,0,LOW
P0843,Pump,6,7411,2,0,68.6,4.8,5.3,85,1,LOW
P0844,Pump,19,12849,0,1,88.6,4,5.3,58,0,MEDIUM
T0845,Turbine,6,1007,5,1,78.5,6.1,9.8,69,1,HIGH
T0846,Turbine,2,9087,3,0,55.4,2.7,8.3,86,3,MEDIUM
C0847,Compressor,18,3555,1,0,85.6,5.3,9.3,61,0,LOW
B0848,Boiler,13,1475,1,0,85.9,6,7.3,90,0,LOW
P0849,Pump,9,6416,2,0,74.3,5.6,6.3,75,2,MEDIUM
B0850,Boiler,19,11403,1,0,92.7,7.2,7,71,0,MEDIUM
B0851,Boiler,13,9676,0,1,66.1,3.6,4.7,65,0,LOW
T0852,Turbine,11,8239,1,0,74.3,6,5.6,82,1,LOW
C0853,Compressor,1,7710,1,1,54.5,2.6,8.8,94,1,LOW
M0854,Motor,7,6000,2,0,77.5,6.2,8.9,81,0,LOW
C0855,Compressor,15,5654,4,1,89.8,7,8.7,30,0,HIGH
C0856,Compressor,1,9078,0,1,62,3,4.4,90,0,LOW
B0857,Boiler,12,7063,3,0,90.7,7.7,7.4,76,1,HIGH
C0858,Compressor,7,3285,4,0,83,5.6,6.4,76,0,MEDIUM
P0859,Pump,15,6223,1,0,82.7,5.2,9.1,73,2,MEDIUM
B0860,Boiler,19,14521,2,0,81.5,7.8,6.7,44,0,MEDIUM
P0861,Pump,1,7971,1,0,59.5,2.7,5.7,88,0,LOW
M0862,Motor,17,13755,3,0,85.2,5.1,7.9,61,0,MEDIUM
B0863,Boiler,17,4525,3,1,86.7,9.2,6.9,53,0,HIGH
M0864,Motor,3,12531,2,0,62.5,3.3,9.8,96,1,LOW
B0865,Boiler,12,3822,4,1,77.2,6.8,7.1,53,2,HIGH
T0866,Turbine,6,5943,2,0,54.3,5.7,5.5,84,0,LOW
C0867,Compressor,11,7530,3,1,75.2,5,4.7,60,1,MEDIUM
T0868,Turbine,3,12116,1,0,64,1.9,7.3,83,0,LOW
M0869,Motor,8,1258,3,1,65.2,5.6,7.1,48,1,MEDIUM
C0870,Compressor,14,1282,1,0,79.1,2.6,5.2,74,0,LOW
B0871,Boiler,14,14937,1,0,94.2,4.5,9.1,72,2,MEDIUM
C0872,Compressor,10,2898,5,0,93.2,7.3,9.5,57,0,HIGH
P0873,Pump,2,5135,2,0,77.1,3.4,7.6,75,1,LOW
C0874,Compressor,14,7629,0,0,79.1,2.2,9,80,0,LOW
P0875,Pump,9,12168,1,0,80.8,6,8.3,78,0,LOW
C0876,Compressor,3,11459,1,0,56.7,3.3,6.1,95,0,LOW
P0877,Pump,8,4200,4,1,73.8,7.7,6.6,77,2,HIGH
M0878,Motor,16,6110,1,0,60.1,4.8,8.5,50,0,LOW
T0879,Turbine,2,8167,3,0,76.5,3.3,8.5,79,0,LOW
B0880,Boiler,6,1612,2,1,82.3,4.6,7.9,72,0,MEDIUM
C0881,Compressor,12,1687,0,0,68.6,3.5,5.7,90,1,LOW
T0882,Turbine,5,4690,3,0,69.5,3.4,8.8,66,2,MEDIUM
B0883,Boiler,2,9804,3,0,61,6.2,6.8,100,1,MEDIUM
B0884,Boiler,16,3307,4,1,94.1,6.5,8,48,0,HIGH
P0885,Pump,5,8133,3,1,80.5,2.6,10.1,70,1,MEDIUM
M0886,Motor,15,12205,1,1,66.6,6.5,6.3,59,1,MEDIUM
M0887,Motor,12,7509,0,0,76.3,3.2,4.6,75,1,LOW
T0888,Turbine,4,10973,3,1,67.8,4,6.3,81,1,MEDIUM
M0889,Motor,15,6906,1,0,81.4,2.8,8.8,60,1,LOW
C0890,Compressor,11,3591,1,0,78.2,6.4,7.7,79,0,LOW
M0891,Motor,16,11888,3,0,86.5,5,7.7,56,1,MEDIUM
T0892,Turbine,6,14835,3,0,72.2,5.1,7.1,71,2,MEDIUM
M0893,Motor,14,13150,3,0,83.3,7.3,8.6,83,1,MEDIUM
C0894,Compressor,18,8183,2,0,95.8,6.6,6.3,63,2,HIGH
P0895,Pump,12,6248,2,0,82.4,5.1,8.1,75,0,LOW
T0896,Turbine,11,9766,3,0,82.3,3.7,6.8,77,1,MEDIUM
P0897,Pump,13,11102,2,1,70.3,4.4,6.3,49,0,MEDIUM
P0898,Pump,11,6108,2,0,74.5,5.3,6.6,86,1,LOW
P0899,Pump,16,4604,0,1,86.2,3.5,6.4,43,0,LOW
B0900,Boiler,15,1669,3,0,86.8,6.6,7.8,55,1,MEDIUM
B0901,Boiler,15,5364,2,1,88.8,6.5,8,53,0,MEDIUM
P0902,Pump,4,8329,3,0,84.1,5.9,2.4,85,0,MEDIUM
T0903,Turbine,11,2283,2,0,85.8,3.6,6.4,74,1,MEDIUM
C0904,Compressor,19,1923,2,0,90.2,8.9,7,56,1,HIGH
C0905,Compressor,15,2125,2,0,79.4,6.6,9.9,65,0,MEDIUM
M0906,Motor,4,2529,3,1,49.6,4.7,6.3,65,0,MEDIUM
T0907,Turbine,13,10786,2,0,79.2,6.7,7.8,57,0,MEDIUM
B0908,Boiler,19,9438,3,0,89.9,9.8,10.1,60,1,HIGH
P0909,Pump,2,4711,2,1,67.1,2,5.6,86,0,LOW
M0910,Motor,14,9004,1,1,77.8,4.5,7.9,75,0,LOW
C0911,Compressor,4,10752,1,0,61.4,0.5,6.1,82,0,LOW
B0912,Boiler,16,7274,3,0,73.8,6.7,7.1,65,3,HIGH
B0913,Boiler,20,11592,0,0,77.5,5.4,5.8,62,0,LOW
P0914,Pump,14,11435,0,0,79.8,4.1,5.9,84,0,LOW
C0915,Compressor,15,4864,3,0,100.2,5.6,12,69,2,HIGH
T0916,Turbine,3,11131,2,1,64.7,1.4,8.9,80,1,MEDIUM
B0917,Boiler,8,14217,2,0,75.6,5,9.3,75,2,MEDIUM
P0918,Pump,16,8833,0,0,86.6,6.1,7.7,79,0,LOW
T0919,Turbine,10,12261,2,0,69.5,4.2,5.2,79,2,MEDIUM
C0920,Compressor,4,7788,1,1,66.9,3.8,7.9,75,1,LOW
B0921,Boiler,18,1226,2,1,82.1,4.2,9.2,41,0,MEDIUM
T0922,Turbine,2,12739,2,0,70.9,4.2,6.3,86,1,LOW
T0923,Turbine,17,1264,2,1,87.7,5.5,9,66,2,HIGH
T0924,Turbine,13,10587,5,0,91.9,6.5,9.6,66,0,HIGH
B0925,Boiler,4,12749,1,0,57.7,2.4,10.1,80,0,LOW
B0926,Boiler,11,14745,2,0,83.2,4.6,7,63,0,LOW
M0927,Motor,7,1645,2,0,88.2,4.9,6,90,0,LOW
C0928,Compressor,12,8544,1,0,67.9,2.9,6.8,65,0,LOW
P0929,Pump,10,14706,3,1,76.3,5.1,10.1,66,1,MEDIUM
T0930,Turbine,7,6569,1,0,70.4,3.7,4.6,78,2,LOW
M0931,Motor,13,3990,1,1,83.8,3.3,4.2,78,1,MEDIUM
P0932,Pump,7,14675,1,0,64,5.9,7.4,77,0,LOW
M0933,Motor,17,11091,1,0,60.8,4.2,6.6,75,0,LOW
B0934,Boiler,10,3504,3,0,89.9,4.8,7.9,71,4,HIGH
T0935,Turbine,10,11964,1,0,79.1,3,8.7,80,0,LOW
P0936,Pump,4,14537,1,0,50.1,5.5,6.5,73,0,LOW
P0937,Pump,20,14269,1,0,83.1,6.4,4.5,42,0,MEDIUM
P0938,Pump,4,10346,1,0,76.5,2.2,10.4,87,0,LOW
P0939,Pump,7,1587,1,0,80.1,5.1,5.8,85,0,LOW
P0940,Pump,1,13763,1,1,67,3.1,5.7,77,0,LOW
M0941,Motor,12,11013,0,0,71.6,4.1,8.7,70,0,LOW
T0942,Turbine,13,10177,2,0,81.2,4.9,7,73,1,MEDIUM
B0943,Boiler,10,5079,1,0,72,3.3,7.2,83,0,LOW
B0944,Boiler,15,4348,3,1,95.5,6.8,8.6,52,1,HIGH
B0945,Boiler,13,7299,1,1,70.5,4,8.9,71,1,LOW
B0946,Boiler,9,4831,6,0,80.1,9.7,8.3,50,4,HIGH
M0947,Motor,9,10433,1,0,79.6,2.5,9.6,77,0,LOW
C0948,Compressor,15,9381,1,0,80.1,6.8,4.1,82,0,LOW
T0949,Turbine,10,14728,1,1,84,4.1,8.4,71,0,LOW
P0950,Pump,10,10172,1,1,67.6,4.6,6,71,1,LOW
C0951,Compressor,8,10890,1,0,69.6,4.9,9.4,100,0,LOW
B0952,Boiler,16,2715,3,0,80.6,5.7,8.1,48,0,MEDIUM
C0953,Compressor,17,11785,1,0,83.6,6.3,6.3,72,0,LOW
T0954,Turbine,5,13328,1,1,53.7,0.5,8.3,92,0,LOW
P0955,Pump,4,7450,0,0,57.1,1.7,8.3,90,0,LOW
P0956,Pump,18,14230,3,0,79.5,5.7,8.9,62,2,MEDIUM
T0957,Turbine,19,13625,0,0,89.1,3.3,5.5,58,0,LOW
T0958,Turbine,4,6433,1,1,69.7,3,6.6,75,0,LOW
B0959,Boiler,7,2098,1,1,54.7,4.2,7.3,78,0,LOW
P0960,Pump,10,8096,1,1,83.7,5,7.2,76,1,MEDIUM
C0961,Compressor,18,3326,3,0,111,7.1,9,65,2,HIGH
M0962,Motor,19,12439,1,1,86.9,4.8,4.3,66,0,MEDIUM
M0963,Motor,4,10087,0,0,55.9,3,7.5,92,0,LOW
T0964,Turbine,10,7416,5,0,107.6,7.1,8.1,72,1,HIGH
B0965,Boiler,1,7980,1,0,48.9,4,6,91,1,LOW
M0966,Motor,18,7763,2,1,88.2,7,6.5,59,0,MEDIUM
P0967,Pump,5,2674,3,0,72.9,4.9,7.6,81,1,LOW
T0968,Turbine,15,12101,1,1,91.3,3.9,2,65,0,MEDIUM
C0969,Compressor,17,8950,2,1,89.4,5.2,6.5,57,2,HIGH
T0970,Turbine,3,10122,3,0,64.5,3.9,6.6,70,1,LOW
C0971,Compressor,12,13576,2,0,71.4,4.8,8.4,61,0,LOW
T0972,Turbine,2,9915,0,0,55.3,2.6,5.8,97,0,LOW
T0973,Turbine,1,12132,3,0,57.4,5.1,7.6,73,2,MEDIUM
T0974,Turbine,17,7049,2,0,86.9,5.9,9.9,68,0,MEDIUM
C0975,Compressor,16,2089,1,0,77.5,5.1,8.8,74,0,LOW
C0976,Compressor,5,5578,1,1,53.5,3.6,8.7,82,0,LOW
T0977,Turbine,15,10127,0,1,87.5,3.6,6.3,56,0,LOW
M0978,Motor,3,11487,1,0,58.5,2,8.1,100,1,LOW
B0979,Boiler,7,1155,1,0,58.4,1.6,6.9,100,0,LOW
B0980,Boiler,11,10262,1,0,73.2,3.5,7,77,1,LOW
B0981,Boiler,10,2958,2,1,76.5,5.5,8.2,70,1,MEDIUM
C0982,Compressor,9,11693,2,1,60.5,3.9,6.7,69,1,MEDIUM
C0983,Compressor,14,7344,3,0,87.7,5.9,10.1,67,0,MEDIUM
M0984,Motor,13,6779,1,0,69.1,5.2,7.1,72,1,LOW
B0985,Boiler,2,13411,2,1,77.7,4.3,8.5,80,0,LOW
B0986,Boiler,3,7144,4,0,75.7,4,10.4,86,0,LOW
T0987,Turbine,7,6063,1,0,65.3,4.9,8.8,100,0,LOW
C0988,Compressor,18,4830,1,0,79,6.8,5.2,52,0,MEDIUM
B0989,Boiler,3,10046,2,0,64.7,2.5,8.3,86,1,LOW
M0990,Motor,10,9831,1,0,77.9,3.2,8.6,69,0,LOW
M0991,Motor,7,11430,3,1,74.3,6.6,9.2,80,1,MEDIUM
B0992,Boiler,9,10794,4,1,78.8,6,6.5,55,2,HIGH
C0993,Compressor,17,7659,2,0,87,3.3,6.6,50,2,MEDIUM
M0994,Motor,11,1441,6,1,84.7,6.2,10.3,53,1,HIGH
T0995,Turbine,7,7040,0,0,62.8,2.8,5.9,100,1,LOW
M0996,Motor,14,6925,2,1,65.3,4.1,7.2,64,0,MEDIUM
P0997,Pump,19,8358,3,0,100.3,6.5,10.3,55,1,HIGH
P0998,Pump,4,5628,2,1,69.4,4,7.5,80,1,MEDIUM
C0999,Compressor,6,7370,2,1,63.8,6.1,6.5,85,1,MEDIUM
B1000,Boiler,10,10528,2,0,91.2,4.6,6.3,67,1,MEDIUM
